,repository_name,language
0,.github,
1,ads-advanced-tools-docs,
2,alexa-coho,JavaScript
3,alexa-skills-kit-js,
4,amazon-ads-advertiser-audience-normalization-sdk-py,Python
5,amazon-advertising-api-php-sdk,PHP
6,amazon-codeguru-profiler-for-spark,Java
7,amazon-frustration-free-setup-certification-tool,Python
8,amazon-hub-counter-api-docs,CSS
9,amazon-hub-counter-api-samples,Java
10,amazon-hub-counter-sdk-java,Java
11,amazon-hub-support,PowerShell
12,amazon-instant-access-sdk-java,Java
13,amazon-instant-access-sdk-net,C#
14,amazon-instant-access-sdk-php,PHP
15,amazon-instant-access-sdk-ruby,Ruby
16,amazon-launcher-integration-cordova-plugin,JavaScript
17,amazon-marketing-stream-examples,Python
18,amazon-mcf-plugin-for-magento-1,PHP
19,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
20,amazon-pay-api-sdk-dotnet,C#
21,amazon-pay-api-sdk-java,Java
22,amazon-pay-api-sdk-nodejs,JavaScript
23,amazon-pay-api-sdk-php,PHP
24,amazon-pay-sdk-csharp,C#
25,amazon-pay-sdk-java,Java
26,amazon-pay-sdk-php,PHP
27,amazon-pay-sdk-python,Python
28,amazon-pay-sdk-ruby,Ruby
29,amazon-pay-sdk-samples,PHP
30,.github,
31,ads-advanced-tools-docs,
32,alexa-coho,JavaScript
33,alexa-skills-kit-js,
34,amazon-ads-advertiser-audience-normalization-sdk-py,Python
35,amazon-advertising-api-php-sdk,PHP
36,amazon-codeguru-profiler-for-spark,Java
37,amazon-frustration-free-setup-certification-tool,Python
38,amazon-hub-counter-api-docs,CSS
39,amazon-hub-counter-api-samples,Java
40,amazon-hub-counter-sdk-java,Java
41,amazon-hub-support,PowerShell
42,amazon-instant-access-sdk-java,Java
43,amazon-instant-access-sdk-net,C#
44,amazon-instant-access-sdk-php,PHP
45,amazon-instant-access-sdk-ruby,Ruby
46,amazon-launcher-integration-cordova-plugin,JavaScript
47,amazon-marketing-stream-examples,Python
48,amazon-mcf-plugin-for-magento-1,PHP
49,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
50,amazon-pay-api-sdk-dotnet,C#
51,amazon-pay-api-sdk-java,Java
52,amazon-pay-api-sdk-nodejs,JavaScript
53,amazon-pay-api-sdk-php,PHP
54,amazon-pay-sdk-csharp,C#
55,amazon-pay-sdk-java,Java
56,amazon-pay-sdk-php,PHP
57,amazon-pay-sdk-python,Python
58,amazon-pay-sdk-ruby,Ruby
59,amazon-pay-sdk-samples,PHP
60,.github,
61,ads-advanced-tools-docs,
62,alexa-coho,JavaScript
63,alexa-skills-kit-js,
64,amazon-ads-advertiser-audience-normalization-sdk-py,Python
65,amazon-advertising-api-php-sdk,PHP
66,amazon-codeguru-profiler-for-spark,Java
67,amazon-frustration-free-setup-certification-tool,Python
68,amazon-hub-counter-api-docs,CSS
69,amazon-hub-counter-api-samples,Java
70,amazon-hub-counter-sdk-java,Java
71,amazon-hub-support,PowerShell
72,amazon-instant-access-sdk-java,Java
73,amazon-instant-access-sdk-net,C#
74,amazon-instant-access-sdk-php,PHP
75,amazon-instant-access-sdk-ruby,Ruby
76,amazon-launcher-integration-cordova-plugin,JavaScript
77,amazon-marketing-stream-examples,Python
78,amazon-mcf-plugin-for-magento-1,PHP
79,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
80,amazon-pay-api-sdk-dotnet,C#
81,amazon-pay-api-sdk-java,Java
82,amazon-pay-api-sdk-nodejs,JavaScript
83,amazon-pay-api-sdk-php,PHP
84,amazon-pay-sdk-csharp,C#
85,amazon-pay-sdk-java,Java
86,amazon-pay-sdk-php,PHP
87,amazon-pay-sdk-python,Python
88,amazon-pay-sdk-ruby,Ruby
89,amazon-pay-sdk-samples,PHP
90,.github,
91,ads-advanced-tools-docs,
92,alexa-coho,JavaScript
93,alexa-skills-kit-js,
94,amazon-ads-advertiser-audience-normalization-sdk-py,Python
95,amazon-advertising-api-php-sdk,PHP
96,amazon-codeguru-profiler-for-spark,Java
97,amazon-frustration-free-setup-certification-tool,Python
98,amazon-hub-counter-api-docs,CSS
99,amazon-hub-counter-api-samples,Java
100,amazon-hub-counter-sdk-java,Java
101,amazon-hub-support,PowerShell
102,amazon-instant-access-sdk-java,Java
103,amazon-instant-access-sdk-net,C#
104,amazon-instant-access-sdk-php,PHP
105,amazon-instant-access-sdk-ruby,Ruby
106,amazon-launcher-integration-cordova-plugin,JavaScript
107,amazon-marketing-stream-examples,Python
108,amazon-mcf-plugin-for-magento-1,PHP
109,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
110,amazon-pay-api-sdk-dotnet,C#
111,amazon-pay-api-sdk-java,Java
112,amazon-pay-api-sdk-nodejs,JavaScript
113,amazon-pay-api-sdk-php,PHP
114,amazon-pay-sdk-csharp,C#
115,amazon-pay-sdk-java,Java
116,amazon-pay-sdk-php,PHP
117,amazon-pay-sdk-python,Python
118,amazon-pay-sdk-ruby,Ruby
119,amazon-pay-sdk-samples,PHP
120,.github,
121,ads-advanced-tools-docs,
122,alexa-coho,JavaScript
123,alexa-skills-kit-js,
124,amazon-ads-advertiser-audience-normalization-sdk-py,Python
125,amazon-advertising-api-php-sdk,PHP
126,amazon-codeguru-profiler-for-spark,Java
127,amazon-frustration-free-setup-certification-tool,Python
128,amazon-hub-counter-api-docs,CSS
129,amazon-hub-counter-api-samples,Java
130,amazon-hub-counter-sdk-java,Java
131,amazon-hub-support,PowerShell
132,amazon-instant-access-sdk-java,Java
133,amazon-instant-access-sdk-net,C#
134,amazon-instant-access-sdk-php,PHP
135,amazon-instant-access-sdk-ruby,Ruby
136,amazon-launcher-integration-cordova-plugin,JavaScript
137,amazon-marketing-stream-examples,Python
138,amazon-mcf-plugin-for-magento-1,PHP
139,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
140,amazon-pay-api-sdk-dotnet,C#
141,amazon-pay-api-sdk-java,Java
